Variable,Code,Label,N,Pct
B1a_qr_display,0,No QR displayed,188,62.7
B1a_qr_display,1,QR displayed,112,37.3
B1b_registered_binary,0,Not formally registered,243,81.0
B1b_registered_binary,1,Formally registered,57,19.0
B5_received_digital,1,Regularly,42,14.0
B5_received_digital,2,Occasionally,87,29.0
B5_received_digital,3,Never,171,57.0
B6_inspected,1,Yes,61,20.3
B6_inspected,2,No,239,79.7
