Mediator,Path_a_coef,Path_a_p,Path_b_AME,Path_b_p,Path_c_total_AME,Path_c_p,Path_c_prime_direct_AME,Path_c_prime_p,Indirect_effect,Bootstrap_CI_lower,Bootstrap_CI_upper,Mediation_significant,Proportion_mediated
Tax/Audit Fear Barrier (D7),-0.8549,0.0,0.002,0.9238,0.0604,0.2437,0.062,0.2559,-0.0017,-0.039,0.0363,False,-0.028
Tax Burden Belief (C4),0.4889,0.0001,0.0194,0.434,0.0604,0.2437,0.051,0.3411,0.0095,-0.0139,0.0395,False,0.157
